"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","24-Nov.-2018 4:45 pm","24-Nov.-2018 4:55 pm",""
"Feeding","Left Breast","24-Nov.-2018 4:27 pm","24-Nov.-2018 4:35 pm",""
"Diapering","Pee","24-Nov.-2018 4:25 pm","24-Nov.-2018 4:25 pm",""
"Sleep","","24-Nov.-2018 1:48 pm","24-Nov.-2018 3:10 pm",""
"Feeding","Right Breast","24-Nov.-2018 1:38 pm","24-Nov.-2018 1:48 pm",""
"Diapering","Pee & Poo","24-Nov.-2018 1:00 pm","24-Nov.-2018 1:00 pm",""
"Feeding","Meal","24-Nov.-2018 12:42 pm","24-Nov.-2018 12:42 pm",""
"Diapering","Pee & Poo","24-Nov.-2018 12:25 pm","24-Nov.-2018 12:25 pm",""
"Pumping","Pump right","24-Nov.-2018 11:49 am","24-Nov.-2018 12:10 pm",""
"Feeding","Right Breast","24-Nov.-2018 11:41 am","24-Nov.-2018 11:45 am",""
"Feeding","Meal","24-Nov.-2018 11:38 am","24-Nov.-2018 11:38 am","yogurt "
"Diapering","Pee & Poo","24-Nov.-2018 11:20 am","24-Nov.-2018 11:20 am",""
"Sleep","","24-Nov.-2018 10:21 am","24-Nov.-2018 11:11 am",""
"Feeding","Left Breast","24-Nov.-2018 10:13 am","24-Nov.-2018 10:20 am",""
"Diapering","Pee","24-Nov.-2018 9:45 am","24-Nov.-2018 9:45 am",""
"Feeding","Meal","24-Nov.-2018 8:50 am","24-Nov.-2018 8:50 am",""
"Sleep","","24-Nov.-2018 12:02 am","24-Nov.-2018 8:36 am",""
"Feeding","Right Breast","23-Nov.-2018 11:51 pm","23-Nov.-2018 11:58 pm",""
"Feeding","Meal","23-Nov.-2018 11:32 pm","23-Nov.-2018 11:32 pm","fruit "
"Leisure","Bath time","23-Nov.-2018 10:05 pm","23-Nov.-2018 10:25 pm",""
"Diapering","Pee & Poo","23-Nov.-2018 10:00 pm","23-Nov.-2018 10:00 pm",""
"Feeding","Meal","23-Nov.-2018 9:30 pm","23-Nov.-2018 9:30 pm",""
"Sleep","","23-Nov.-2018 8:30 pm","23-Nov.-2018 9:18 pm",""
"Feeding","Left Breast","23-Nov.-2018 8:14 pm","23-Nov.-2018 8:21 pm",""
"Health","Medication","23-Nov.-2018 8:13 pm","23-Nov.-2018 8:13 pm","Panadol "
"Diapering","Pee & Poo","23-Nov.-2018 8:05 pm","23-Nov.-2018 8:05 pm",""
"Sleep","","23-Nov.-2018 6:22 pm","23-Nov.-2018 7:03 pm",""
"Feeding","Right Breast","23-Nov.-2018 6:11 pm","23-Nov.-2018 6:21 pm",""
"Diapering","Pee & Poo","23-Nov.-2018 5:46 pm","23-Nov.-2018 5:46 pm",""
"Feeding","Meal","23-Nov.-2018 4:20 pm","23-Nov.-2018 4:20 pm","caco&berry "
"Feeding","Meal","23-Nov.-2018 2:14 pm","23-Nov.-2018 2:14 pm",""
"Diapering","Pee","23-Nov.-2018 12:57 pm","23-Nov.-2018 12:57 pm",""
"Sleep","","23-Nov.-2018 10:45 am","23-Nov.-2018 12:31 pm",""
"Feeding","Left Breast","23-Nov.-2018 10:37 am","23-Nov.-2018 10:43 am",""
"Feeding","Meal","23-Nov.-2018 10:30 am","23-Nov.-2018 10:30 am","toast & weetabix "
"Diapering","Pee & Poo","23-Nov.-2018 10:00 am","23-Nov.-2018 10:00 am",""
"Diapering","Pee & Poo","23-Nov.-2018 9:36 am","23-Nov.-2018 9:36 am",""
"Feeding","Right Breast","23-Nov.-2018 9:08 am","23-Nov.-2018 9:10 am",""
"Feeding","Right Breast","23-Nov.-2018 9:02 am","23-Nov.-2018 9:07 am",""
"Sleep","","23-Nov.-2018 2:11 am","23-Nov.-2018 8:56 am",""
"Feeding","Left Breast","23-Nov.-2018 2:02 am","23-Nov.-2018 2:09 am",""
"Sleep","","22-Nov.-2018 10:18 pm","23-Nov.-2018 1:59 am",""
"Feeding","Right Breast","22-Nov.-2018 10:10 pm","22-Nov.-2018 10:17 pm",""
"Feeding","Meal","22-Nov.-2018 9:50 pm","22-Nov.-2018 9:50 pm",""
"Leisure","Bath time","22-Nov.-2018 9:01 pm","22-Nov.-2018 9:17 pm",""
"Diapering","Pee & Poo","22-Nov.-2018 9:00 pm","22-Nov.-2018 9:00 pm",""
"Feeding","Meal","22-Nov.-2018 7:49 pm","22-Nov.-2018 7:49 pm",""
"Diapering","Pee","22-Nov.-2018 6:00 pm","22-Nov.-2018 6:00 pm",""
"Sleep","","22-Nov.-2018 3:32 pm","22-Nov.-2018 5:04 pm",""
"Feeding","Left Breast","22-Nov.-2018 3:26 pm","22-Nov.-2018 3:31 pm",""
"Diapering","Pee & Poo","22-Nov.-2018 2:24 pm","22-Nov.-2018 2:24 pm",""
"Feeding","Left Breast","22-Nov.-2018 2:21 pm","22-Nov.-2018 2:27 pm",""
"Feeding","Meal","22-Nov.-2018 2:15 pm","22-Nov.-2018 2:15 pm",""
"Sleep","","22-Nov.-2018 12:50 pm","22-Nov.-2018 1:51 pm",""
"Feeding","Right Breast","22-Nov.-2018 12:40 pm","22-Nov.-2018 12:50 pm",""
"Diapering","Pee & Poo","22-Nov.-2018 12:15 pm","22-Nov.-2018 12:15 pm",""
"Feeding","Meal","22-Nov.-2018 11:30 am","22-Nov.-2018 11:30 am",""
"Diapering","Pee & Poo","22-Nov.-2018 10:13 am","22-Nov.-2018 10:13 am",""
"Feeding","Meal","22-Nov.-2018 10:13 am","22-Nov.-2018 10:13 am",""
"Sleep","","22-Nov.-2018 5:27 am","22-Nov.-2018 9:38 am",""
"Feeding","Left Breast","22-Nov.-2018 5:18 am","22-Nov.-2018 5:27 am",""
"Sleep","","22-Nov.-2018 2:46 am","22-Nov.-2018 5:14 am",""
"Feeding","Right Breast","22-Nov.-2018 2:40 am","22-Nov.-2018 2:46 am",""
"Sleep","","21-Nov.-2018 10:47 pm","22-Nov.-2018 2:41 am",""
"Feeding","Left Breast","21-Nov.-2018 10:33 pm","21-Nov.-2018 10:39 pm",""
"Diapering","Poo","21-Nov.-2018 10:25 pm","21-Nov.-2018 10:25 pm",""
"Feeding","Meal","21-Nov.-2018 9:50 pm","21-Nov.-2018 9:50 pm",""
"Diapering","Pee","21-Nov.-2018 9:45 pm","21-Nov.-2018 9:45 pm",""
"Leisure","Bath time","21-Nov.-2018 9:20 pm","21-Nov.-2018 9:35 pm",""
"Sleep","","21-Nov.-2018 8:55 pm","21-Nov.-2018 9:17 pm",""
"Sleep","","21-Nov.-2018 5:49 pm","21-Nov.-2018 6:15 pm",""
"Feeding","Right Breast","21-Nov.-2018 5:41 pm","21-Nov.-2018 5:49 pm",""
"Diapering","Pee & Poo","21-Nov.-2018 5:14 pm","21-Nov.-2018 5:14 pm",""
"Diapering","Poo","21-Nov.-2018 3:10 pm","21-Nov.-2018 3:10 pm",""
"Feeding","Left Breast","21-Nov.-2018 2:05 pm","21-Nov.-2018 2:13 pm",""
"Diapering","Pee & Poo","21-Nov.-2018 1:45 pm","21-Nov.-2018 1:45 pm",""
"Sleep","","21-Nov.-2018 1:30 pm","21-Nov.-2018 1:39 pm",""
"Feeding","Meal","21-Nov.-2018 12:20 pm","21-Nov.-2018 12:20 pm","pie"
"Sleep","","21-Nov.-2018 11:28 am","21-Nov.-2018 12:01 pm",""
"Diapering","Pee & Poo","21-Nov.-2018 10:45 am","21-Nov.-2018 10:45 am",""
"Sleep","","21-Nov.-2018 9:27 am","21-Nov.-2018 10:07 am",""
"Feeding","Meal","21-Nov.-2018 8:51 am","21-Nov.-2018 8:51 am",""
